Lake Name,19910619,19950614,19960616,19960718,19970603,19970705,19980606,19980622,19990609,20130717,20130802,20140704,20140821,20150808,20150824,20160709,20170712,20180731
0856f0f7c12a86000d0ddb892e3618,,,418500,501300,292500,952200,,432900,462600,552600,510300,485100,524700,549900,,577800,528300,565200
0a7701441fb0ea6c1a14bef1a4de25,,,,414900,,,,,,556200,607500,,545400,351900,,591300,,478800
3e769bfe3547ccd27e0a634b2b2826,,,,,,,,,,252900,275400,,,238500,,283500,296100,323100
4021e19971d19c5af9607874663a66,,,,,216900,,,,,440100,319500,,353700,307800,,401400,203400,266400
47d181a56997652816e338bdca7c05,,,,,,,,,,208800,204300,222300,220500,245700,,253800,263700,298800
5c40f88d05b34be31536ecd68b7c81,1944900,,,886500,,544500,633600,,,,390600,400500,327600,296100,,,565200,
7796a353134ccf02655a5a97cd99a5,805500,697500,670500,651600,,650700,648900,,449100,,,538200,,673200,,709200,552600,726300
9631358918d293afa1188b80cc1609,,,,,,,,,,,360900,,333000,389700,,297000,,503100
ac2ebc1b89d6860d3ca3bda652e4be,,,,4005900,,7415100,,,,581400,553500,533700,536400,564300,,,544500,608400
ad540573d3c66b6b062e240f12a9e8,,,,250200,,,,,,,218700,,240300,269100,,,302400,399600
b075e852b795bd6943b1c449581f9a,,,,,,,,,,,998100,933300,981900,930600,,357300,935100,1124100
b534cd1b49b7c9e4237cb8c0cc50f1,291600,1655100,,1872000,,3016800,1219500,1914300,,2073600,2067300,698400,2103300,2194200,,1266300,1010700,2485800
bc9b5fed90136533ee541d3f5f26a4,966600,,324000,,296100,897300,,213300,611100,1598400,1062000,819900,2367000,3797100,,2798100,3854700,2526300
c1413e80393e1d807df7cdf8e61fd7,,,,1021500,,1841400,,396900,,1464300,1299600,1468800,1426500,804600,,1483200,1542600,1551600
c2d1bb8d8bbbbbaf8508799d4f27a6,,232200,,397800,,1958400,,261000,,664200,548100,284400,249300,775800,,894600,295200,1745100
cbf5a932aad6aaf168265ecaf42153,,392400,,457200,,3151800,,,,1449900,1647900,,,,,,,
e69aeaa28c27363f2af9292c71c5dc,662400,820800,752400,902700,328500,2467800,886500,,610200,,837900,714600,720900,1454400,,,1590300,
f129ee98c234f0dc7c706532f316c7,,,,,,,,,,385200,387000,549000,414000,514800,,431100,410400,533700
f6ab07e3692cced194046d41da9fb3,,,,308700,,866700,,,,1865700,1772100,632700,1993500,2053800,,2074500,2122200,2193300
fff9b1c606980edf840796b34b1955,1233000,,1181700,1159200,,1163700,,,,240300,,,1052100,937800,,730800,,950400
